custID,Account ID,AccountType,OpenDate,AvailableBalance,Password,TransactionPIN,IFSC
C00001,843837875397,Current account,21-Feb-15,34123,289138791,9861,28408911520
C00002,253627594369,Saving account,29-Aug-15,45987,41559886,9616,70529462244
C00003,358866420015,Salary account,30-Aug-15,24381,388737566,5083,19520679990
C00004,508201610412,Fixed deposit account,02-Jan-16,89652,637375450,1430,61895300209
C00005,237080013198,NRI account,27-Mar-16,876653,460453225,9945,28408911520
C00006,379821102072,Current account,03-May-16,1247,602270080,3750,70529462244
C00007,593356614842,Saving account,11-Dec-16,76532,265632355,4739,19520679990
C00008,312208293521,Salary account,06-Apr-17,23456,322338060,3197,61895300209
C00009,182724080367,Fixed deposit account,15-Sep-17,47911,445817935,9686,28408911520
C00010,423262095218,NRI account,16-Dec-17,123456,659202385,7083,70529462244
C00011,553297545784,Current account,07-Jan-18,43890,947892897,8861,19520679990
C00012,855467136960,Saving account,13-May-18,38976,675195399,3197,61895300209
C00013,456358266345,Salary account,11-Feb-19,18975,322538518,4739,28408911520
C00014,366985926148,Fixed deposit account,10-Oct-19,14999,687369736,9962,70529462244
C00015,142702294017,NRI account,10-Dec-19,999999,692569007,5083,19520679990
C00016,632022682509,Current account,15-Dec-19,48996,519621447,7952,61895300209
C00017,221678535699,Saving account,16-Jun-20,21987,112023752,4851,28408911520
C00018,476898703903,Salary account,06-Jul-20,34999,29696236,9529,70529462244
C00019,516691799627,Fixed deposit account,12-Aug-20,98765,538823836,7947,19520679990
C00020,221913745534,NRI account,19-Aug-20,9875891,864176452,5526,61895300209
