STAFFID,CUSTNAME,DOB,GENDER,IDPROOF1,IDPROOF2,PHONENUMBER,EMAIL
S00001,Jeanette Fizer,12-JUN-1985,F,Aadhar,VoterID,9084868556,JeanetteFizer@gmail.com
S00002,Jeanetta Woodman,10-OCT-1986,F,Aadhar,Pan card,6232181761,JeanettaWoodman@gmail.com
S00003,Loura Redmon,05-DEC-1986,F,Aadhar,Pan card,8759499474,LouraRedmon@gmail.com
S00004,Lourie Prange,28-DEC-1986,F,Aadhar,VoterID,7311565073,LouriePrange@gmail.com
S00005,Trisha Harbuck,09-MAY-1987,M,Aadhar,VoterID,8825702111,TrishaHarbuck@gmail.com
S00006,Yukiko Clare,07-SEP-1987,F,Aadhar,Pan card,6748920137,YukikoClare@gmail.com
S00007,Leia Klar,21-JAN-1988,F,Aadhar,Pan card,9373454734,LeiaKlar@gmail.com
S00008,Coralee Cantin,28-FEB-1989,M,Aadhar,VoterID,7119264549,CoraleeCantin@gmail.com
S00009,Emmett Traynor,29-OCT-1989,M,Aadhar,Pan card,8713046030,EmmettTraynor@gmail.com
S00010,Jacqulyn Garrick,17-NOV-1989,F,Aadhar,VoterID,9570264050,JacqulynGarrick@gmail.com
S00011,Marcel Vasta,01-MAY-1990,F,Aadhar,VoterID,9620195129,MarcelVasta@gmail.com
S00012,Azzie Strine,15-JUL-1990,F,Aadhar,Pan card,8626746615,AzzieStrine@gmail.com
S00013,Sherman Pelt,04-AUG-1990,M,Aadhar,VoterID,7540136851,ShermanPelt@gmail.com
S00014,Lawerence Bowens,04-APR-1992,M,Aadhar,Pan card,9118020448,LawerenceBowens@gmail.com
S00015,Valentin Howells,13-FEB-1993,F,Aadhar,Pan card,6586784417,ValentinHowells@gmail.com
S00016,Verdell Guilford,07-SEP-1993,F,Aadhar,Pan card,9244183440,VerdellGuilford@gmail.com
S00017,Farah Mcguffey,20-MAY-1994,M,Aadhar,VoterID,8893644199,FarahMcguffey@gmail.com
S00018,Hilary Buescher,05-AUG-1995,M,Aadhar,Pan card,8342791326,HilaryBuescher@gmail.com
S00019,Carolynn Tacey,29-AUG-1999,M,Aadhar,Pan card,9839686017,CarolynnTacey@gmail.com
S00020,Tennille Bilby,15-AUG-2000,F,Aadhar,VoterID,9297295317,TennilleBilby@gmail.com
